agri_0_1083.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_114.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_1334.jpeg: crop=0, weed=1, weed_coverage=49.9%
agri_0_1351.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_1420.jpeg: crop=0, weed=3, weed_coverage=73.9%
agri_0_1499.jpeg: crop=18, weed=0, weed_coverage=0.0%
agri_0_1693.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_1731.jpeg: crop=0, weed=1, weed_coverage=31.5%
agri_0_1771.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_1868.jpeg: crop=0, weed=2, weed_coverage=150.7%
agri_0_1960.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_1990.jpeg: crop=3, weed=0, weed_coverage=0.0%
agri_0_2077.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_2121.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_2256.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_2271.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_2400.jpeg: crop=0, weed=1, weed_coverage=62.8%
agri_0_2469.jpeg: crop=0, weed=1, weed_coverage=67.5%
agri_0_2484.jpeg: crop=17, weed=0, weed_coverage=0.0%
agri_0_2495.jpeg: crop=0, weed=1, weed_coverage=21.8%
agri_0_2533.jpeg: crop=18, weed=0, weed_coverage=0.0%
agri_0_2595.jpeg: crop=0, weed=1, weed_coverage=60.5%
agri_0_2633.jpeg: crop=22, weed=0, weed_coverage=0.0%
agri_0_2714.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_2735.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_2774.jpeg: crop=23, weed=0, weed_coverage=0.0%
agri_0_2964.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_3156.jpeg: crop=0, weed=1, weed_coverage=11.1%
agri_0_318.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_3228.jpeg: crop=0, weed=2, weed_coverage=106.0%
agri_0_3374.jpeg: crop=0, weed=5, weed_coverage=66.0%
agri_0_3398.jpeg: crop=0, weed=1, weed_coverage=77.4%
agri_0_3468.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_347.jpeg: crop=0, weed=1, weed_coverage=50.5%
agri_0_3509.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_3514.jpeg: crop=0, weed=2, weed_coverage=14.7%
agri_0_3607.jpeg: crop=0, weed=1, weed_coverage=17.9%
agri_0_3914.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_3990.jpeg: crop=0, weed=1, weed_coverage=43.7%
agri_0_4068.jpeg: crop=0, weed=1, weed_coverage=45.1%
agri_0_4107.jpeg: crop=0, weed=1, weed_coverage=93.0%
agri_0_4116.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_4127.jpeg: crop=0, weed=1, weed_coverage=64.9%
agri_0_4214.jpeg: crop=4, weed=0, weed_coverage=0.0%
agri_0_4218.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_4226.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_4273.jpeg: crop=0, weed=1, weed_coverage=26.5%
agri_0_4333.jpeg: crop=0, weed=1, weed_coverage=9.5%
agri_0_4348.jpeg: crop=0, weed=1, weed_coverage=26.4%
agri_0_4388.jpeg: crop=0, weed=4, weed_coverage=53.8%
agri_0_4557.jpeg: crop=0, weed=1, weed_coverage=39.2%
agri_0_4571.jpeg: crop=0, weed=8, weed_coverage=93.3%
agri_0_4651.jpeg: crop=0, weed=1, weed_coverage=34.7%
agri_0_484.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_4862.jpeg: crop=0, weed=2, weed_coverage=64.0%
agri_0_487.jpeg: crop=0, weed=1, weed_coverage=4.0%
agri_0_491.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_4913.jpeg: crop=0, weed=2, weed_coverage=60.7%
agri_0_4944.jpeg: crop=0, weed=1, weed_coverage=35.7%
agri_0_4994.jpeg: crop=5, weed=0, weed_coverage=0.0%
agri_0_5053.jpeg: crop=26, weed=0, weed_coverage=0.0%
agri_0_5225.jpeg: crop=0, weed=2, weed_coverage=62.4%
agri_0_5260.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_5266.jpeg: crop=0, weed=2, weed_coverage=64.8%
agri_0_561.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_5616.jpeg: crop=0, weed=1, weed_coverage=38.5%
agri_0_5711.jpeg: crop=0, weed=8, weed_coverage=102.2%
agri_0_5858.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_5935.jpeg: crop=0, weed=1, weed_coverage=59.7%
agri_0_5967.jpeg: crop=0, weed=1, weed_coverage=29.6%
agri_0_6097.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_6152.jpeg: crop=3, weed=0, weed_coverage=0.0%
agri_0_6166.jpeg: crop=0, weed=1, weed_coverage=99.1%
agri_0_618.jpeg: crop=3, weed=0, weed_coverage=0.0%
agri_0_6222.jpeg: crop=0, weed=1, weed_coverage=90.3%
agri_0_6292.jpeg: crop=0, weed=1, weed_coverage=66.7%
agri_0_6411.jpeg: crop=0, weed=3, weed_coverage=89.1%
agri_0_6417.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_6419.jpeg: crop=2, weed=1, weed_coverage=9.5%
agri_0_6449.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_6504.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_667.jpeg: crop=0, weed=1, weed_coverage=35.9%
agri_0_6707.jpeg: crop=4, weed=0, weed_coverage=0.0%
agri_0_6724.jpeg: crop=0, weed=1, weed_coverage=18.6%
agri_0_7039.jpeg: crop=0, weed=1, weed_coverage=41.7%
agri_0_7091.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_7092.jpeg: crop=0, weed=1, weed_coverage=43.4%
agri_0_7158.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_7466.jpeg: crop=0, weed=1, weed_coverage=3.8%
agri_0_7517.jpeg: crop=4, weed=0, weed_coverage=0.0%
agri_0_7586.jpeg: crop=0, weed=2, weed_coverage=20.9%
agri_0_7588.jpeg: crop=2, weed=0, weed_coverage=0.0%
agri_0_7625.jpeg: crop=0, weed=1, weed_coverage=19.8%
agri_0_7716.jpeg: crop=1, weed=0, weed_coverage=0.0%
agri_0_808.jpeg: crop=0, weed=1, weed_coverage=41.8%
agri_0_8141.jpeg: crop=1, weed=0, weed_coverage=0.0%
